cas,CharacteristicName
7439-97-6,Mercury
74886-79-6,Dechloroalachlor
75-25-2,Tribromomethane
759-94-4,S-Ethyl dipropylthiocarbamate
76-22-2,Camphor
76-42-6,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-"
76-44-8,Heptachlor
76-57-3,Codeine
76-99-3,Methadone
76674-21-0,Flutriafol
76738-62-0,Paclobutrazol
76824-35-6,Famotidine
76936-72-6,O-Ethyl S-methyl S-propyl phosphorodithioate
7696-12-0,Tetramethrin
76960-87-7,O-Ethyl O-methyl S-propyl phosphorothioate
76963-41-2,Nizatidine
77-47-4,Hexachlorocyclopentadiene
77-93-0,Triethyl citrate
77501-63-4,Lactofen
78-44-4,Carisoprodol
78-48-8,Tribufos
78-51-3,Tris(2-butoxyethyl) phosphate
78-59-1,Isophorone
786-19-6,Carbophenothion
79538-32-2,Tefluthrin
79617-96-2,Sertraline
79622-59-6,Fluazinam
79794-75-5,Loratadine
80-05-7,"4,4'-Isopropylidenediphenol"
8001-35-2,Toxaphene
80474-14-2,Fluticasone propionate
80844-07-1,Etofenprox
81-81-2,Warfarin
81335-37-7,Imazaquin
81335-77-5,Imazethapyr
81777-89-1,Clomazone
82-68-8,Pentachloronitrobenzene
82657-04-3,Bifenthrin
83-32-9,Acenaphthene
83-34-1,3-Methylindole
83-46-5,.beta.-Sitosterol
83055-99-6,Bensulfuron-methyl
834-12-8,Ametryn
83799-24-0,Fexofenadine
83891-03-6,Norfluoxetine
84-65-1,Anthraquinone
84-66-2,Diethyl phthalate
84-74-2,Dibutyl phthalate
84449-90-1,Raloxifene
846-49-1,Lorazepam
846-50-4,Temazepam
85-01-8,Phenanthrene
85-68-7,Butyl benzyl phthalate
85509-19-9,Flusilazole
86-13-5,Benztropine
86-30-6,N-Nitrosodiphenylamine
86-50-0,Azinphos-methyl
86-73-7,Fluorene
86-74-8,Carbazole
86386-73-4,Fluconazole
86408-45-9,Desmethyldiltiazem
864182-54-7,Dechlorodimethenamid
87-68-3,Hexachlorobutadiene
87-86-5,Pentachlorophenol
87674-68-8,Dimethenamid
87857-41-8,Norsertraline
88-06-2,"2,4,6-Trichlorophenol"
88-75-5,o-Nitrophenol
88-85-7,Dinoseb
886-50-0,Terbutryn
88671-89-0,Myclobutanil
887-54-7,Chlorthal-Monomethyl
89-78-1,"(1R,2S,5R)-Menthol"
90-12-0,1-Methylnaphthalene
90-15-3,1-Naphthol
90-98-2,"Methanone, bis(4-chlorophenyl)-"
90004-07-2,Phthalazinone
907204-31-3,Fluxapyroxad
90982-32-4,Chlorimuron-ethyl
91-20-3,Naphthalene
91-57-6,2-Methylnaphthalene
91-58-7,2-Chloronaphthalene
91-94-1,"3,3'-Dichlorobenzidine"
91465-08-6,.lambda.-Cyhalothrin
92-87-5,Benzidine
93-72-1,Silvex
93-76-5,"2,4,5-T"
934-32-7,2-Aminobenzimidazole
93413-62-8,Desmethylvenlafaxine
93413-69-5,Venlafaxine
94-74-6,MCPA
94-75-7,"2,4-D"
94-78-0,Phenazopyridine
94-81-5,MCPB
94-82-6,"2,4-DB"
94125-34-5,Prosulfuron
94361-06-5,Cyproconazole
944-21-8,Fonofos oxon
944-22-9,Fonofos
947601-88-9,Propachlor ESA
95-50-1,o-Dichlorobenzene
95-57-8,o-Chlorophenol
95-76-1,"3,4-Dichloroaniline"
95-82-9,"2,5-Dichloroaniline"
950-35-6,Methyl paraoxon
950-37-8,Methidathion
95737-68-1,Pyriproxyfen
959-98-8,.alpha.-Endosulfan
961-22-8,Azinphos-methyl oxygen analog
96182-53-5,Phostebupirim
962-58-3,Diazoxon
96489-71-3,Pyridaben
97886-45-8,Dithiopyr
98-16-8,3-(Trifluoromethyl)aniline
98-57-7,"Benzene, 1-chloro-4-(methylsulfonyl)-"
98-82-8,Cumene
98-86-2,Acetophenone
98-95-3,Nitrobenzene
98967-40-9,Flumetsulam
99-08-1,m-Nitrotoluene
,"2-Chloro-4,6-diamino-s-triazine"
